City,Temperature (Celsius),Temperature (Fahrenheit),Description,Day,Date,Time
Mexico City,22,71,Clear,Thursday,2024-03-07,22:56:14
New York,8,46,Clear,Thursday,2024-03-07,22:56:15
Los Angeles,15,59,Clear,Thursday,2024-03-07,22:56:16
Chicago,7,44,Cloudy,Thursday,2024-03-07,22:56:17
Houston,20,68,Light rain,Thursday,2024-03-07,22:56:17
Phoenix,13,55,Light rain,Thursday,2024-03-07,22:56:18
Philadelphia,10,50,Clear,Thursday,2024-03-07,22:56:19
Austin,21,70,Cloudy,Thursday,2024-03-07,22:56:20
San Diego,15,59,Light rain,Thursday,2024-03-07,22:56:20
Dallas,16,61,Rain,Thursday,2024-03-07,22:56:21
